"","chromosome","source","type","start","end","score","strand","phase","gene_symbol","gene_ensID","length","entrezid"
"411983","11","ensembl_havana","gene",65961689,65979828,".","+",".","SART1","ENSG00000175467",18140,"9092"
"412082","11","ensembl_havana","gene",65996545,66002176,".","-",".","EIF1AD","ENSG00000175376",5632,"84285"
"412222","11","ensembl_havana","gene",66002079,66004149,".","+",".","BANF1","ENSG00000175334",2071,"8815"
"412280","11","ensembl_havana","gene",66011841,66013505,".","+",".","CST6","ENSG00000175315",1665,"1474"
"412295","11","ensembl_havana","gene",66016752,66026517,".","-",".","CATSPER1","ENSG00000175294",9766,"117144"
"412331","11","ensembl_havana","gene",66041952,66049180,".","-",".","GAL3ST3","ENSG00000175229",7229,"89792"
"412367","11","ensembl_havana","gene",66050729,66069308,".","+",".","SF3B2","ENSG00000087365",18580,"10992"
"412610","11","ensembl_havana","gene",66070363,66244747,".","+",".","PACS1","ENSG00000175115",174385,"55690"
"412806","11","ensembl_havana","gene",66257294,66267860,".","+",".","KLC2","ENSG00000174996",10567,"64837"
"413102","11","ensembl_havana","gene",66268533,66277492,".","+",".","RAB1B","ENSG00000174903",8960,"81876"
"413152","11","ensembl_havana","gene",66278190,66285301,".","+",".","CNIH2","ENSG00000174871",7112,"254263"
"413224","11","ensembl_havana","gene",66284580,66289170,".","-",".","YIF1A","ENSG00000174851",4591,"10897"
"413373","11","ensembl_havana","gene",66291870,66296664,".","+",".","TMEM151A","ENSG00000179292",4795,"256472"
"413421","11","ensembl_havana","gene",66314487,66317044,".","-",".","CD248","ENSG00000174807",2558,"57124"
"413430","11","ensembl_havana","gene",66330242,66336840,".","-",".","RIN1","ENSG00000174791",6599,"9610"
"413541","11","ensembl_havana","gene",66337333,66345125,".","-",".","BRMS1","ENSG00000174744",7793,"25855"
"413675","11","ensembl_havana","gene",66345372,66347692,".","-",".","B4GAT1","ENSG00000174684",2321,"11041"
"413698","11","havana","gene",66347950,66364804,".","+",".","RP11-867G23.8","ENSG00000255468",16855,"102724064"
"413713","11","ensembl_havana","gene",66362521,66372214,".","-",".","SLC29A2","ENSG00000174669",9694,"3177"
"413944","11","ensembl_havana","gene",66421004,66426707,".","+",".","NPAS4","ENSG00000174576",5704,"266743"
"413991","11","ensembl_havana","gene",66435075,66466738,".","-",".","MRPL11","ENSG00000174547",31664,"65003"
"414064","11","ensembl_havana","gene",66466327,66477337,".","+",".","PELI3","ENSG00000174516",11011,"246330"
"414200","11","havana","gene",66473490,66480233,".","-",".","CTD-3074O7.5","ENSG00000255517",6744,"101928069"
"414223","11","ensembl_havana","gene",66480013,66509657,".","+",".","DPP3","ENSG00000254986",29645,"10072"
"414520","11","ensembl_havana","gene",66510606,66533627,".","+",".","BBS1","ENSG00000174483",23022,"582"
"414917","11","ensembl_havana","gene",66520637,66546238,".","-",".","ZDHHC24","ENSG00000174165",25602,"254359"
"414962","11","ensembl_havana","gene",66546395,66563329,".","+",".","ACTN3","ENSG00000248746",16935,"89"
"415071","11","ensembl_havana","gene",66563463,66568841,".","-",".","CTSF","ENSG00000174080",5379,"8722"
"415181","11","ensembl_havana","gene",66590176,66593083,".","-",".","CCDC87","ENSG00000182791",2908,"55231"
"415189","11","ensembl_havana","gene",66592821,66606019,".","+",".","CCS","ENSG00000173992",13199,"9973"
"415296","11","ensembl_havana","gene",66616582,66627347,".","+",".","RBM14","ENSG00000239306",10766,"10432"
"415353","11","ensembl_havana","gene",66616626,66646469,".","+",".","RBM14-RBM4","ENSG00000248643",29844,"100526737"
"415400","11","ensembl_havana","gene",66638617,66666682,".","+",".","RBM4","ENSG00000173933",28066,"5936"
"415514","11","ensembl_havana","gene",66664998,66677921,".","-",".","RBM4B","ENSG00000173914",12924,"83759"
"415588","11","ensembl_havana","gene",66685248,66729226,".","-",".","SPTBN2","ENSG00000173898",43979,"6712"
"415982","11","ensembl_havana","gene",66744451,66843328,".","+",".","C11orf80","ENSG00000173715",98878,"79703"
"416330","11","ensembl_havana","gene",66842835,66846546,".","+",".","RCE1","ENSG00000173653",3712,"9986"
"416438","11","ensembl_havana","gene",66848233,66958376,".","-",".","PC","ENSG00000173599",110144,"5091"
"416677","11","ensembl_havana","gene",66856647,66860475,".","+",".","LRFN4","ENSG00000173621",3829,"78999"
"416736","11","ensembl_havana","gene",66975277,66977004,".","+",".","C11orf86","ENSG00000173237",1728,"254439"
"416744","11","ensembl_havana","gene",67006778,67050863,".","+",".","SYT12","ENSG00000173227",44086,"91683"
"416850","11","ensembl_havana","gene",67056818,67072013,".","+",".","RHOD","ENSG00000173156",15196,"29984"
"416908","11","ensembl_havana","gene",67119269,67258087,".","+",".","KDM2A","ENSG00000173120",138819,"22992"
"417147","11","ensembl_havana","gene",67266410,67286556,".","+",".","GRK2","ENSG00000173020",20147,"156"
"417322","11","ensembl_havana","gene",67288547,67302485,".","+",".","ANKRD13D","ENSG00000172932",13939,"338692"
"417564","11","ensembl_havana","gene",67303448,67312607,".","+",".","SSH3","ENSG00000172830",9160,"54961"
"417744","11","ensembl_havana","gene",67317871,67398410,".","+",".","RAD9A","ENSG00000172613",80540,"5883"
"417872","11","ensembl_havana","gene",67350777,67356972,".","-",".","POLD4","ENSG00000175482",6196,"57804"
"417979","11","ensembl_havana","gene",67364168,67374177,".","-",".","CLCF1","ENSG00000175505",10010,"23529"
"418025","11","ensembl_havana","gene",67398183,67421183,".","-",".","PPP1CA","ENSG00000172531",23001,"5499"
"418139","11","ensembl_havana","gene",67403915,67410089,".","+",".","TBC1D10C","ENSG00000175463",6175,"374403"
"418248","11","ensembl_havana","gene",67414968,67425607,".","+",".","CARNS1","ENSG00000172508",10640,"57571"
"418354","11","ensembl_havana","gene",67428460,67435408,".","+",".","RPS6KB2","ENSG00000175634",6949,"6199"
"418539","11","ensembl_havana","gene",67435510,67438067,".","-",".","PTPRCAP","ENSG00000213402",2558,"5790"
"418547","11","ensembl_havana","gene",67435510,67443821,".","-",".","CORO1B","ENSG00000172725",8312,"57175"
"418703","11","ensembl_havana","gene",67451301,67452729,".","-",".","GPR152","ENSG00000175514",1429,"390212"
"418709","11","ensembl_havana","gene",67452406,67460313,".","+",".","CABP4","ENSG00000175544",7908,"57010"
"418766","11","ensembl_havana","gene",67461710,67469272,".","-",".","TMEM134","ENSG00000172663",7563,"80194"
"418917","11","ensembl_havana","gene",67483041,67491103,".","+",".","AIP","ENSG00000110711",8063,"9049"
"418962","11","ensembl_havana","gene",67491768,67506263,".","-",".","PITPNM1","ENSG00000110697",14496,"9600"
"419223","11","ensembl_havana","gene",67506497,67508649,".","-",".","CDK2AP2","ENSG00000167797",2153,"10263"
"419270","11","ensembl_havana","gene",67518912,67524517,".","-",".","CABP2","ENSG00000167791",5606,"51475"
"419342","11","ensembl_havana","gene",67583595,67586660,".","+",".","GSTP1","ENSG00000084207",3066,"2950"
"419429","11","ensembl_havana","gene",67606852,67612535,".","+",".","NDUFV1","ENSG00000167792",5684,"4723"
"419723","11","ensembl_havana","gene",67627938,67629930,".","-",".","NUDT8","ENSG00000167799",1993,"254552"
"419756","11","ensembl_havana","gene",67631303,67639560,".","-",".","TBX10","ENSG00000167800",8258,"347853"
"419776","11","ensembl_havana","gene",67642555,67650659,".","-",".","ACY3","ENSG00000132744",8105,"91703"
"419818","11","ensembl_havana","gene",67662162,67681200,".","-",".","ALDH3B2","ENSG00000132746",19039,"222"
"419962","11","havana","gene",67791648,67805336,".","-",".","FAM86C2P","ENSG00000160172",13689,"645332"
"420046","11","ensembl_havana","gene",67991104,68004982,".","-",".","UNC93B1","ENSG00000110057",13879,"81622"
"420151","11","ensembl_havana","gene",68008578,68029282,".","+",".","ALDH3B1","ENSG00000006534",20705,"221"
"420334","11","ensembl_havana","gene",68030617,68036644,".","+",".","NDUFS8","ENSG00000110717",6028,"4728"
"420491","11","ensembl_havana","gene",68039016,68050895,".","+",".","TCIRG1","ENSG00000110719",11880,"10312"
"420735","11","ensembl_havana","gene",68052859,68121444,".","-",".","CHKA","ENSG00000110721",68586,"1119"
"420863","11","ensembl_havana","gene",68154863,68213828,".","-",".","KMT5B","ENSG00000110066",58966,"51111"
"421139","11","ensembl_havana","gene",68261335,68272001,".","-",".","C11orf24","ENSG00000171067",10667,"53838"
"421206","11","ensembl_havana","gene",68312609,68449275,".","+",".","LRP5","ENSG00000162337",136667,"4041"
"421350","11","ensembl_havana","gene",68460731,68615334,".","+",".","PPP6R3","ENSG00000110075",154604,"55291"
"421989","11","ensembl_havana","gene",68683779,68691175,".","+",".","GAL","ENSG00000069482",7397,"51083"
"422022","11","ensembl_havana","gene",68707440,68751564,".","-",".","TESMIN","ENSG00000132749",44125,"9633"
"422120","11","ensembl_havana","gene",68754620,68844410,".","-",".","CPT1A","ENSG00000110090",89791,"1374"
"422351","11","ensembl_havana","gene",68891276,68903835,".","-",".","MRPL21","ENSG00000197345",12560,"219927"
"422477","11","ensembl_havana","gene",68903842,68940602,".","+",".","IGHMBP2","ENSG00000132740",36761,"3508"
"422588","11","ensembl_havana","gene",68980021,68980986,".","-",".","MRGPRD","ENSG00000172938",966,"116512"
"422599","11","ensembl_havana","gene",69004395,69013409,".","-",".","MRGPRF","ENSG00000172935",9015,"116535"
"422632","11","havana","gene",69012283,69018447,".","+",".","MRGPRF-AS1","ENSG00000256508",6165,"101928200"
"422648","11","ensembl_havana","gene",69048897,69162440,".","+",".","TPCN2","ENSG00000162341",113544,"219931"
"422991","11","ensembl_havana","gene",69294138,69367726,".","+",".","MYEOV","ENSG00000172927",73589,"26579"
"423120","11","ensembl_havana","gene",69641087,69654474,".","+",".","CCND1","ENSG00000110092",13388,"595"
"423171","11","ensembl_havana","gene",69653076,69675416,".","-",".","ORAOV1","ENSG00000149716",22341,"220064"
"423340","11","ensembl_havana","gene",69698232,69704642,".","-",".","FGF19","ENSG00000162344",6411,"9965"
"423367","11","ensembl_havana","gene",69771016,69775403,".","-",".","FGF4","ENSG00000075388",4388,"2249"
"423400","11","ensembl_havana","gene",69810224,69819024,".","-",".","FGF3","ENSG00000186895",8801,"2248"
"423481","11","ensembl_havana","gene",70078302,70189528,".","+",".","ANO1","ENSG00000131620",111227,"55107"
"423765","11","ensembl_havana","gene",70203163,70207390,".","+",".","FADD","ENSG00000168040",4228,"8772"
"423790","11","ensembl_havana","gene",70270700,70384403,".","+",".","PPFIA1","ENSG00000131626",113704,"8500"
"424243","11","ensembl_havana","gene",70398404,70436584,".","+",".","CTTN","ENSG00000085733",38181,"2017"
"424449","11","ensembl_havana","gene",70467856,71252577,".","-",".","SHANK2","ENSG00000162105",784722,"22941"
"424787","11","havana","gene",70631094,70635490,".","+",".","SHANK2-AS1","ENSG00000226627",4397,"100874198"
"424814","11","havana","gene",70862790,70865115,".","+",".","SHANK2-AS3","ENSG00000171671",2326,"220070"
"424851","11","havana","gene",71382601,71423423,".","-",".","FLJ42102","ENSG00000172900",40823,"399923"
"424869","11","ensembl_havana","gene",71428193,71452868,".","-",".","DHCR7","ENSG00000172893",24676,"1717"
"425029","11","ensembl_havana","gene",71453109,71524107,".","+",".","NADSYN1","ENSG00000172890",70999,"55191"
"425319","11","havana","gene",71527267,71528674,".","+",".","KRTAP5-7","ENSG00000244411",1408,"440050"
"425325","11","havana","gene",71538025,71539207,".","+",".","KRTAP5-8","ENSG00000241233",1183,"57830"
"425331","11","havana","gene",71548418,71549553,".","+",".","KRTAP5-9","ENSG00000254997",1136,"3846"
"425338","11","ensembl_havana","gene",71565563,71568934,".","+",".","KRTAP5-10","ENSG00000204572",3372,"387273"
"425356","11","ensembl_havana","gene",71579714,71603353,".","-",".","KRTAP5-11","ENSG00000204571",23640,"440051"
"425439","11","ensembl_havana","gene",71787510,71801236,".","+",".","FAM86C1","ENSG00000158483",13727,"55199"
"425547","11","ensembl_havana","gene",71814045,71821548,".","-",".","ZNF705E","ENSG00000214534",7504,"100131539"
"425559","11","ensembl_havana","gene",71833200,71837710,".","+",".","DEFB108B","ENSG00000184276",4511,"245911"
"425666","11","ensembl_havana","gene",71878453,71884561,".","+",".","CTD-2313N18.7","ENSG00000225805",6109,"100129216"
"425679","11","ensembl_havana","gene",71928701,71997597,".","+",".","RNF121","ENSG00000137522",68897,"55298"
"425866","11","ensembl_havana","gene",71998541,72005715,".","+",".","IL18BP","ENSG00000137496",7175,"10068"
"426037","11","ensembl_havana","gene",72002864,72080693,".","-",".","NUMA1","ENSG00000137497",77830,"4926"
"426774","11","havana","gene",72014291,72020910,".","+",".","RP11-849H4.4","ENSG00000251143",6620,"100128494"
"426791","11","ensembl_havana","gene",72080331,72110782,".","+",".","LRTOMT","ENSG00000184154",30452,"220074"
"427066","11","ensembl_havana","gene",72085895,72103387,".","-",".","LAMTOR1","ENSG00000149357",17493,"55004"
"427150","11","ensembl_havana","gene",72106378,72112780,".","-",".","ANAPC15","ENSG00000110200",6403,"25906"
"427372","11","ensembl_havana","gene",72114869,72139892,".","+",".","FOLR3","ENSG00000110203",25024,"2352"
"427463","11","ensembl_havana","gene",72189558,72196301,".","+",".","FOLR1","ENSG00000110195",6744,"2348"
"427517","11","ensembl_havana","gene",72216601,72221950,".","+",".","FOLR2","ENSG00000165457",5350,"2350"
"427653","11","ensembl_havana","gene",72223701,72239105,".","+",".","INPPL1","ENSG00000165458",15405,"3636"
"427933","11","ensembl_havana","gene",72239077,72245664,".","-",".","PHOX2A","ENSG00000165462",6588,"401"
"427981","11","ensembl_havana","gene",72292425,72434680,".","-",".","CLPB","ENSG00000162129",142256,"81570"
"428354","11","ensembl_havana","gene",72576141,72674591,".","-",".","PDE2A","ENSG00000186642",98451,"5138"
"429059","11","ensembl_havana","gene",72685069,72793599,".","-",".","ARAP1","ENSG00000186635",108531,"116985"
"429672","11","havana","gene",72700474,72705607,".","+",".","ARAP1-AS2","ENSG00000245148",5134,"100506020"
"429681","11","ensembl_havana","gene",72754729,72794168,".","-",".","STARD10","ENSG00000214530",39440,"10809"
"429924","11","ensembl_havana","gene",72814308,72843674,".","+",".","ATG16L2","ENSG00000168010",29367,"89849"
"430274","11","ensembl_havana","gene",72836745,73142261,".","-",".","FCHSD2","ENSG00000137478",305517,"9873"
"430568","11","ensembl_havana","gene",73218298,73236352,".","+",".","P2RY2","ENSG00000175591",18055,"5029"
"430611","11","ensembl_havana","gene",73264505,73298617,".","+",".","P2RY6","ENSG00000171631",34113,"5031"
"430723","11","havana","gene",73307235,73309361,".","-",".","RP11-800A3.7","ENSG00000257038",2127,"100287837"
"430729","11","ensembl_havana","gene",73308289,73369091,".","+",".","ARHGEF17","ENSG00000110237",60803,"9828"
"430817","11","ensembl_havana","gene",73376264,73397474,".","+",".","RELT","ENSG00000054967",21211,"84957"
"430928","11","ensembl_havana","gene",73400487,73598189,".","-",".","FAM168A","ENSG00000054965",197703,"23201"
"431022","11","ensembl_havana","gene",73646178,73662819,".","+",".","PLEKHB1","ENSG00000021300",16642,"58473"
"431296","11","ensembl_havana","gene",73675638,73761137,".","-",".","RAB6A","ENSG00000175582",85500,"5870"
"431454","11","ensembl_havana","gene",73787316,73865133,".","+",".","MRPL48","ENSG00000175581",77818,"51642"
"431678","11","ensembl_havana","gene",73872667,73876988,".","-",".","COA4","ENSG00000181924",4322,"51287"
"431717","11","ensembl_havana","gene",73876699,73931124,".","+",".","PAAF1","ENSG00000175575",54426,"80227"
"432013","11","ensembl_havana","gene",73950319,73970366,".","+",".","DNAJB13","ENSG00000187726",20048,"374407"
"432092","11","ensembl_havana","gene",73974667,73983307,".","-",".","UCP2","ENSG00000175567",8641,"7351"
"432187","11","ensembl_havana","gene",74000281,74009435,".","-",".","UCP3","ENSG00000175564",9155,"7352"
"432229","11","ensembl_havana","gene",74012714,74171210,".","-",".","C2CD3","ENSG00000168014",158497,"26005"
"432526","11","ensembl_havana","gene",74171099,74254703,".","+",".","PPME1","ENSG00000214517",83605,"51400"
"432643","11","ensembl_havana","gene",74235801,74311657,".","-",".","P4HA3","ENSG00000149380",75857,"283208"
"432796","11","ensembl_havana","gene",74330318,74398473,".","-",".","PGM2L1","ENSG00000165434",68156,"283209"
"432856","11","ensembl_havana","gene",74454841,74467729,".","-",".","KCNE3","ENSG00000175538",12889,"10008"
"432927","11","ensembl_havana","gene",74491712,74493733,".","-",".","LIPT2","ENSG00000175536",2022,"387787"
"432961","11","ensembl_havana","gene",74493851,74669117,".","+",".","POLD3","ENSG00000077514",175267,"10714"
"433124","11","ensembl_havana","gene",74696429,74731385,".","-",".","CHRDL2","ENSG00000054938",34957,"25884"
"433323","11","ensembl_havana","gene",74748868,74842413,".","+",".","RNF169","ENSG00000166439",93546,"254225"
"433351","11","ensembl_havana","gene",74807739,74949200,".","-",".","XRRA1","ENSG00000166435",141462,"143570"
"433675","11","ensembl_havana","gene",74949247,74979031,".","+",".","SPCS2","ENSG00000118363",29785,"9789"
"433763","11","ensembl_havana","gene",74988134,75018893,".","+",".","NEU3","ENSG00000162139",30760,"10825"
"433835","11","ensembl_havana","gene",75088713,75089754,".","-",".","OR2AT4","ENSG00000171561",1042,"341152"
"433847","11","ensembl_havana","gene",75100563,75206549,".","+",".","SLCO2B1","ENSG00000137491",105987,"11309"
"434107","11","ensembl_havana","gene",75240905,75243697,".","+",".","TPBGL","ENSG00000261594",2793,"100507050"
"434139","11","ensembl_havana","gene",75264182,75351705,".","-",".","ARRB1","ENSG00000137486",87524,"408"
"434344","11","ensembl_havana","gene",75399486,75422280,".","+",".","RPS3","ENSG00000149273",22795,"6188"
"434606","11","ensembl_havana","gene",75422394,75430629,".","-",".","KLHL35","ENSG00000149243",8236,"283212"
"434669","11","ensembl_havana","gene",75434640,75525903,".","-",".","GDPD5","ENSG00000158555",91264,"81544"
"434996","11","ensembl_havana","gene",75562056,75572783,".","+",".","SERPINH1","ENSG00000149257",10728,"871"
"435154","11","havana","gene",75583196,75594665,".","+",".","CTD-2530H12.4","ENSG00000255326",11470,"105369391"
"435163","11","ensembl_havana","gene",75586918,75669120,".","-",".","MAP6","ENSG00000171533",82203,"4135"
"435230","11","ensembl_havana","gene",75717819,75732958,".","+",".","MOGAT2","ENSG00000166391",15140,"80168"
"435276","11","havana","gene",75758455,75768647,".","-",".","CTD-2530H12.1","ENSG00000247867",10193,"283214"
"435282","11","ensembl_havana","gene",75759512,75801535,".","+",".","DGAT2","ENSG00000062282",42024,"84649"
"435404","11","havana","gene",75803431,75815406,".","-",".","RP11-535A19.2","ENSG00000255507",11976,"100506113"
"435431","11","ensembl_havana","gene",75815167,76143195,".","+",".","UVRAG","ENSG00000198382",328029,"7405"
"435617","11","ensembl_havana","gene",76186325,76210736,".","-",".","WNT11","ENSG00000085741",24412,"7481"
"435715","11","ensembl_havana","gene",76349956,76380971,".","-",".","THAP12","ENSG00000137492",31016,"5612"
"435768","11","ensembl_havana","gene",76381313,76414619,".","+",".","RP11-111M22.2","ENSG00000179240",33307,"100506127"
"435821","11","ensembl_havana","gene",76444923,76553025,".","+",".","EMSY","ENSG00000158636",108103,"56946"
"436233","11","ensembl_havana","gene",76657524,76670747,".","-",".","LRRC32","ENSG00000137507",13224,"2615"
"436313","11","ensembl_havana","gene",76782251,76798154,".","+",".","TSKU","ENSG00000182704",15904,"25987"
"436347","11","havana","gene",76782581,76783062,".","-",".","RP11-21L23.3","ENSG00000255100",482,"101928837"
"436379","11","ensembl_havana","gene",76860867,77026797,".","+",".","ACER3","ENSG00000078124",165931,"55331"
"436661","11","ensembl_havana","gene",77034398,77041973,".","+",".","B3GNT6","ENSG00000198488",7576,"192134"
"436688","11","ensembl_havana","gene",77066932,77126155,".","+",".","CAPN5","ENSG00000149260",59224,"726"
"436812","11","havana","gene",77102840,77103331,".","+",".","OMP","ENSG00000254550",492,"4975"
"436817","11","ensembl_havana","gene",77128264,77215239,".","+",".","MYO7A","ENSG00000137474",86976,"4647"
"437374","11","ensembl_havana","gene",77216558,77301687,".","-",".","GDPD4","ENSG00000178795",85130,"220032"
"437469","11","ensembl_havana","gene",77321707,77474635,".","-",".","PAK1","ENSG00000149269",152929,"5058"
"437766","11","ensembl_havana","gene",77514936,77637805,".","-",".","CLNS1A","ENSG00000074201",122870,"1207"
"437897","11","ensembl_havana","gene",77589391,77610355,".","+",".","AQP11","ENSG00000178301",20965,"282679"
"437919","11","ensembl_havana","gene",77659996,77821017,".","-",".","RSF1","ENSG00000048649",161022,"51773"
"438085","11","ensembl_havana","gene",77821109,77918432,".","+",".","AAMDC","ENSG00000087884",97324,"28971"
"438240","11","ensembl_havana","gene",77878720,77994678,".","-",".","INTS4","ENSG00000149262",115959,"92105"
"438452","11","ensembl_havana","gene",78015715,78046191,".","-",".","KCTD14","ENSG00000151364",30477,"65987"
"438467","11","ensembl_havana","gene",78016971,78079865,".","-",".","NDUFC2-KCTD14","ENSG00000259112",62895,"100532726"
"438508","11","ensembl_havana","gene",78063861,78068351,".","+",".","THRSP","ENSG00000151365",4491,"7069"
"438516","11","ensembl_havana","gene",78068304,78080219,".","-",".","NDUFC2","ENSG00000151366",11916,"4718"
"438562","11","ensembl_havana","gene",78100936,78139660,".","-",".","ALG8","ENSG00000159063",38725,"79053"
"438890","11","ensembl_havana","gene",78139771,78175323,".","+",".","KCTD21-AS1","ENSG00000246174",35553,"100289388"
"438915","11","ensembl_havana","gene",78171249,78188822,".","-",".","KCTD21","ENSG00000188997",17574,"283219"
"438971","11","ensembl_havana","gene",78188812,78214711,".","+",".","USP35","ENSG00000118369",25900,"57558"
"439098","11","ensembl_havana","gene",78215297,78418348,".","-",".","GAB2","ENSG00000033327",203052,"9846"
"439210","11","ensembl_havana","gene",78435961,78574874,".","-",".","NARS2","ENSG00000137513",138914,"79731"
"439332","11","havana","gene",78533176,78558565,".","+",".","RP11-843A23.1","ENSG00000255084",25390,"101928896"
"439349","11","havana","gene",78652831,79440948,".","-",".","TENM4","ENSG00000149256",788118,"26011"
"439622","11","ensembl_havana","gene",82729941,82733864,".","-",".","FAM181B","ENSG00000182103",3924,"220382"
"439649","11","ensembl_havana","gene",82823502,82970584,".","-",".","PRCP","ENSG00000137509",147083,"5547"
"439847","11","ensembl_havana","gene",82899975,82958277,".","+",".","DDIAS","ENSG00000165490",58303,"220042"
"440002","11","ensembl_havana","gene",82973133,83071923,".","-",".","RAB30","ENSG00000137502",98791,"27314"
"440241","11","ensembl_havana","gene",83156988,83187451,".","+",".","PCF11","ENSG00000165494",30464,"51585"
"440391","11","ensembl_havana","gene",83193739,83260694,".","+",".","ANKRD42","ENSG00000137494",66956,"338699"
"440564","11","ensembl_havana","gene",83259097,83286407,".","-",".","CCDC90B","ENSG00000137500",27311,"60492"
"440886","11","ensembl_havana","gene",83455012,85627922,".","-",".","DLG2","ENSG00000150672",2172911,"1740"
"441605","11","ensembl_havana","gene",85628573,85636539,".","+",".","TMEM126B","ENSG00000171204",7967,"55863"
"441745","11","ensembl_havana","gene",85647967,85656547,".","+",".","TMEM126A","ENSG00000171202",8581,"84233"
"441813","11","ensembl_havana","gene",85659708,85682908,".","-",".","CREBZF","ENSG00000137504",23201,"58487"
"441890","11","ensembl_havana","gene",85684866,85686277,".","-",".","CCDC89","ENSG00000179071",1412,"220388"
"441897","11","ensembl_havana","gene",85694224,85811159,".","-",".","SYTL2","ENSG00000137501",116936,"54843"
"442522","11","ensembl_havana","gene",85855101,85920021,".","+",".","CCDC83","ENSG00000150676",64921,"220047"
"442610","11","ensembl_havana","gene",85957684,86069882,".","-",".","PICALM","ENSG00000073921",112199,"8301"
"443116","11","ensembl_havana","gene",86244544,86278813,".","+",".","EED","ENSG00000074266",34270,"8726"
"443283","11","ensembl_havana","gene",86302211,86345931,".","+",".","HIKESHI","ENSG00000149196",43721,"51501"
"443359","11","ensembl_havana","gene",86374736,86423109,".","+",".","CCDC81","ENSG00000149201",48374,"60494"
"443499","11","ensembl_havana","gene",86441108,86672636,".","-",".","ME3","ENSG00000151376",231529,"10873"
"443708","11","ensembl_havana","gene",86791059,86952910,".","+",".","PRSS23","ENSG00000150687",161852,"11098"
"443781","11","havana","gene",86857059,86857947,".","-",".","OR7E2P","ENSG00000255203",889,"8587"
"443796","11","ensembl_havana","gene",86945679,86955391,".","-",".","FZD4","ENSG00000174804",9713,"8322"
"443828","11","ensembl_havana","gene",87037844,87323758,".","+",".","TMEM135","ENSG00000166575",285915,"65084"
"444031","11","ensembl_havana","gene",88113242,88175467,".","-",".","RAB38","ENSG00000123892",62226,"23682"
"444063","11","ensembl_havana","gene",88293592,88337787,".","-",".","CTSC","ENSG00000109861",44196,"1075"
"444146","11","havana","gene",88504576,88524054,".","+",".","GRM5-AS1","ENSG00000255082",19479,"100873989"
"444157","11","ensembl_havana","gene",88504576,89065945,".","-",".","GRM5","ENSG00000168959",561370,"2915"
"444253","11","ensembl_havana","gene",89177452,89295759,".","+",".","TYR","ENSG00000077498",118308,"7299"
"444284","11","ensembl_havana","gene",89324356,89498187,".","-",".","NOX4","ENSG00000086991",173832,"50507"
"444765","11","ensembl_havana","gene",89710299,89717872,".","+",".","TRIM77","ENSG00000214414",7574,"390231"
"444834","11","ensembl_havana","gene",89797655,89808575,".","-",".","TRIM49","ENSG00000168930",10921,"57093"
"444900","11","ensembl_havana","gene",89869282,89876017,".","-",".","TRIM64B","ENSG00000189253",6736,"642446"
"444933","11","ensembl_havana","gene",89911111,89921767,".","-",".","TRIM49D1","ENSG00000223417",10657,"399939"
"444985","11","ensembl_havana","gene",89924064,89933063,".","+",".","TRIM49D2","ENSG00000233802",9000,"729384"
"445033","11","ensembl_havana","gene",89968502,89975228,".","+",".","TRIM64","ENSG00000204450",6727,"120146"
"445065","11","havana","gene",89993536,89999741,".","-",".","TRIM53AP","ENSG00000225581",6206,"642569"
"445080","11","ensembl_havana","gene",90031106,90042025,".","+",".","TRIM49C","ENSG00000204449",10920,"642612"
"445127","11","ensembl_havana","gene",90085950,90087131,".","+",".","UBTFL1","ENSG00000255009",1182,"642623"
"445140","11","ensembl_havana","gene",90131515,90192894,".","+",".","NAALAD2","ENSG00000077616",61380,"10003"
"445330","11","ensembl_havana","gene",90201160,90223364,".","-",".","CHORDC1","ENSG00000110172",22205,"26973"
"445613","11","ensembl_havana","gene",92352096,92896470,".","+",".","FAT3","ENSG00000165323",544375,"120114"
"445805","11","ensembl_havana","gene",92969720,92985066,".","+",".","MTNR1B","ENSG00000134640",15347,"4544"
"445838","11","ensembl_havana","gene",93144171,93197964,".","-",".","SLC36A4","ENSG00000180773",53794,"120103"
"445956","11","ensembl_havana","gene",93329971,93438487,".","+",".","CCDC67","ENSG00000165325",108517,"159989"
"446202","11","ensembl_havana","gene",93478472,93543508,".","-",".","SMCO4","ENSG00000166002",65037,"56935"
"446247","11","havana","gene",93535468,93535816,".","+",".","RP11-288E14.2","ENSG00000234106",349,"111644132"
"446279","11","ensembl_havana","gene",93661639,93730358,".","+",".","CEP295","ENSG00000166004",68720,"85459"
"446439","11","havana","gene",93721513,93721865,".","+",".","SCARNA9","ENSG00000254911",353,"619383"
"446451","11","ensembl_havana","gene",93729948,93784391,".","-",".","TAF1D","ENSG00000166012",54444,"79101"
"446722","11","ensembl_havana","gene",93741591,93764749,".","+",".","C11orf54","ENSG00000182919",23159,"28970"
"446961","11","ensembl_havana","gene",93784227,93814695,".","+",".","MED17","ENSG00000042429",30469,"9440"
"447076","11","ensembl_havana","gene",93818232,93850531,".","-",".","VSTM5","ENSG00000214376",32300,"387804"
"447115","11","ensembl_havana","gene",94021361,94113751,".","+",".","HEPHL1","ENSG00000181333",92391,"341208"
"447166","11","ensembl_havana","gene",94128928,94181972,".","+",".","PANX1","ENSG00000110218",53045,"24145"
"447214","11","ensembl_havana","gene",94305592,94307721,".","+",".","IZUMO1R","ENSG00000183560",2130,"390243"
"447236","11","ensembl_havana","gene",94377311,94401419,".","-",".","GPR83","ENSG00000123901",24109,"10888"
